"","PLT","LAT","YEAR","LON","treeNumber","plotArea","totalBiomass","biomassDensity","sumBasalArea","averageBasalArea","treeNumberArea"
"113","PLT_00000104",-1.62808,2003,13.77603,10,1,9283.94293768138,9283.94293768138,10104.8224729669,10104.8224729669,10
"114","PLT_00000105",-1.6,1991,-80.7,134,0.1,28752.0751484416,287520.751484416,30516.6456388079,305166.456388079,1340
"115","PLT_00000106",-1.6,1980,-80.7,214,0.1,31953.6242336132,319536.242336132,44795.1842493735,447951.842493735,2140
"116","PLT_00000107",-1.70781,2014,-51.45916,461,1,429943.955170616,429943.955170616,304560.356771403,304560.356771403,461
"117","PLT_00000108",-1.72358,2014,-51.4309,426,1,351334.505821172,351334.505821172,268080.709094688,268080.709094688,426
"118","PLT_00000109",-1.72963,2014,-51.48499,498,1,482145.68541937,482145.68541937,336495.729944609,336495.729944609,498
"119","PLT_00000110",-1.73408,2014,-51.51098,412,1,526068.859263413,526068.859263413,347543.509648094,347543.509648094,412
"120","PLT_00000111",-1.74,2009,-51.46,524,1,431457.449579585,431457.449579585,326044.570101967,326044.570101967,524
"121","PLT_00000112",-1.74,2009,-51.46,523,1,381944.842583505,381944.842583505,299176.750812616,299176.750812616,523
"122","PLT_00000113",-1.75391,2014,-51.52048,427,1,467998.677227391,467998.677227391,330150.851611694,330150.851611694,427
"123","PLT_00000114",-1.78128,2014,-51.59084,487,1,523217.272503801,523217.272503801,346146.969611812,346146.969611812,487
"124","PLT_00000115",-1.7,2009,-51.5,437,1,399712.777415576,399712.777415576,299722.076319407,299722.076319407,437
"125","PLT_00000116",-1.9,2009,-51.5,558,1,289506.309475419,289506.309475419,288398.990997706,288398.990997706,558
"126","PLT_00000117",-10.05,2006,150.98,161,0.25,130880.613480327,523522.453921309,101150.423054751,404601.692219003,644
"127","PLT_00000118",-10.06,2006,150.98,144,0.25,119481.663546531,477926.654186126,103915.135095431,415660.540381726,576
"128","PLT_00000119",-10.06,2006,150.99,136,0.25,141789.98156069,567159.926242759,119987.011424293,479948.045697173,544
"129","PLT_00000120",-10.07,2006,151,171,0.25,177686.131853558,710744.527414232,139667.643638094,558670.574552377,684
"130","PLT_00000121",-10.1,2010,-65.9,403,1,235559.957354927,235559.957354927,219638.952588587,219638.952588587,403
"131","PLT_00000122",-10.1,2010,-65.9,451,1,214763.023300766,214763.023300766,228242.989468606,228242.989468606,451
"132","PLT_00000123",-10.333333,1988,-75.166667,159,0.1,32293.5128802791,322935.128802791,28648.1834080853,286481.834080853,1590
"133","PLT_00000124",-10.333333,1983,-75.3,184,0.1,21806.8600852578,218068.600852578,22636.1568168187,226361.568168187,1840
"134","PLT_00000125",-10.33,1983,-75.3,520,1,398182.938992635,398182.938992635,290927.376181242,290927.376181242,520
"135","PLT_00000126",-10.35049162,2015,-75.2503069,275,1,295052.948073892,295052.948073892,207628.565334096,207628.565334096,275
"136","PLT_00000127",-10.35418209,2015,-75.28502173,297,1,300473.200580606,300473.200580606,223345.774387765,223345.774387765,297
"137","PLT_00000128",-10.37508504,2015,-75.29446998,276,1,243918.215143655,243918.215143655,191689.759801457,191689.759801457,276
"138","PLT_00000129",-10.3806513,2015,-75.25653021,288,1,183548.63899783,183548.63899783,147478.575321078,147478.575321078,288
"139","PLT_00000130",-10.3,2010,-65.6,493,1,223792.264767109,223792.264767109,226778.221893869,226778.221893869,493
"140","PLT_00000131",-10.3,2009,-75.3,542,1,252608.718831171,252608.718831171,223428.498726979,223428.498726979,542
"141","PLT_00000132",-10.3,2009,-75.3,797,1,248627.434505549,248627.434505549,236095.400306253,236095.400306253,797
"142","PLT_00000133",-10.3,2008,-75.6,671,1,274999.710342628,274999.710342628,316632.484175518,316632.484175518,671
"143","PLT_00000134",-10.40999508,2015,-75.32989584,682,1,199580.157191629,199580.157191629,235891.707292576,235891.707292576,682
"144","PLT_00000135",-10.42219729,2015,-75.31577971,267,1,98041.1268562326,98041.1268562326,95908.1505950242,95908.1505950242,267
"145","PLT_00000136",-1.37037,2015,29.65852,481,1,132543.758294463,132543.758294463,266164.353283961,266164.353283961,481
"146","PLT_00000137",-1.41181,2015,29.61939,352,1,58948.8710571227,58948.8710571227,124767.488299339,124767.488299339,352
"147","PLT_00000138",-1.41615,2015,29.53075,235,1,60914.1197803356,60914.1197803356,122603.072332685,122603.072332685,235
"148","PLT_00000139",-1.47024,2015,29.5008,198,1,136070.442283806,136070.442283806,225061.885396911,225061.885396911,198
"149","PLT_00000140",-1.53462,2015,29.48953,204,1,48225.21036504,48225.21036504,96574.8358260241,96574.8358260241,204
"150","PLT_00000141",-1.55612,2015,29.48896,119,1,44926.3562000803,44926.3562000803,88714.9401438792,88714.9401438792,119
