Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Abies lasiocarpa,Abies lasiocarpa,,1,Accepted,Abies lasiocarpa,(Hook.) Nutt.,Pinaceae,tpl;tropicos;usda, ,
Abies magnifica,Abies magnifica,,1,Accepted,Abies magnifica,A.Murray bis,Pinaceae,tpl, ,
Abies nephrolepis,Abies nephrolepis,,1,Accepted,Abies nephrolepis,(Trautv. ex Maxim.) Maxim.,Pinaceae,tpl;tropicos, ,
Abies nordmanniana,Abies nordmanniana,,1,Accepted,Abies nordmanniana,(Steven) Spach,Pinaceae,tpl;tropicos, ,
Abies pinsapo,Abies pinsapo,,1,Accepted,Abies pinsapo,Boiss.,Pinaceae,tpl;tropicos, ,
Abies procera,Abies procera,,1,Accepted,Abies procera,Rehder,Pinaceae,tpl;tropicos;usda, ,
Abies religiosa,Abies religiosa,,1,Accepted,Abies religiosa,(Kunth) Schltdl. & Cham.,Pinaceae,tpl;tropicos, ,
Abies shastensis,Abies shastensis,,1,Synonym,Abies magnifica var. shastensis,Lemmon,Pinaceae,tpl;tropicos, ,
Abies sppDE1,Abies,,0.9,Accepted,Abies,,Pinaceae,tpl, ,
Abies sppIN1,Abies,,0.9,Accepted,Abies,,Pinaceae,tpl, ,
Abies sppIT1,Abies,,0.9,Accepted,Abies,,Pinaceae,tpl, ,
Abies sppUS1,Abies,,0.9,Accepted,Abies,,Pinaceae,tpl, ,
Abies veitchii,Abies veitchii,,1,Accepted,Abies veitchii,Lindl.,Pinaceae,tpl;usda, ,
Abies vejari,Abies vejarii,,0.98,Accepted,Abies vejarii,Mart¨ªnez,Pinaceae,tpl;tropicos, ,
Abrahamia ditimena,Abrahamia ditimena,,1,Accepted,Abrahamia ditimena,(H. Perrier) Randrian. & Lowry,Anacardiaceae,tpl;tropicos, ,
Abrahamia lenticellata,Abrahamia lenticellata,,1,No opinion,,,,tpl;tropicos, ,
Abrahamia thouvenotii,Abrahamia thouvenotii,,1,Accepted,Abrahamia thouvenotii,(Lecomte) Randrian. & Lowry,Anacardiaceae,tpl;tropicos, ,
Abroma augusta,Abroma augusta,,1,Accepted,Abroma augusta,(L.) L.f.,Malvaceae,tpl, ,
Abuta grandifolia,Abuta grandifolia,,1,Accepted,Abuta grandifolia,(Mart.) Sandwith,Menispermaceae,tpl;tropicos, ,
Abuta grisebachii,Abuta grisebachii,,1,Accepted,Abuta grisebachii,Triana & Planch.,Menispermaceae,tpl;tropicos, ,
Abuta pahnii,Abuta pahnii,,1,Accepted,Abuta pahnii,(Mart.) Krukoff & Barneby,Menispermaceae,tropicos, ,
