Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
"157"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"158"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"159"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"160"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"161"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"162"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"163"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"164"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"165"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"166"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"167"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"168"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"169"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"170"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"171"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"172"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"173"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"174"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"175"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"176"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"177"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"178"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"179"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"180"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
"181"",""Durio zibethinus",Durio zibethinus,,0.9,Accepted,Durio zibethinus,L.,Malvaceae,tpl, ,
