"","binomial"
"941","Millettia dura"
"942","Maesa lanceolata"
"943","Xymalos monospora"
"944","Polyscias fulva"
"945","Psychotria mahonii"
"946","Myrianthus holstii"
"947","Xymalos monospora"
"948","Chrysophyllum sppTEAM5"
"949","Tabernaemontana sppTEAM1"
"950","Millettia dura"
"951","Tabernaemontana holstii"
"952","Sapium ellipticum"
"953","Allophylus abyssinicus"
"954","Macaranga kilimandscharica"
"955","Bridelia micrantha"
"956","Xymalos monospora"
"957","Cyathea manniana"
"958","Myrianthus holstii"
"959","Prunus africana"
"960","Newtonia buchananii"
"961","Cassipourea gummifera"
"962","Albizia gummifera"
"963","Xymalos holstii"
"964","Sapium ellipticum"
"965","Polyscias fulva"
"966","Albizia gummifera"
"967","Millettia dura"
"968","Ocotea usambarensis"
"969","unknown sppTEAM2"
"970","Leptonychia mildbraedii"
"971","Ocotea usambarensis"
"972","Macaranga barteri"
"973","Psychotria mahonii"
"974","Xymalos monospora"
"975","Macaranga barteri"
"976","Psychotria mahonii"
"977","Leptonychia mildbraedii"
"978","unknown sppTEAM9"
"979","Polyscias fulva"
"980","Xymalos monospora"
"981","Xymalos monospora"
"982","Xymalos monospora"
"983","Millettia dura"
"984","Alangium chinense"
"985","Millettia dura"
"986","Ilex mitis"
"987","Myrianthus holstii"
"988","Albizia gummifera"
"989","Macaranga barteri"
"990","Alangium chinense"
"991","Macaranga barteri"
"992","Millettia dura"
"993","Ilex mitis"
"994","Polyscias fulva"
"995","Millettia ferruginea"
"996","Bridelia micrantha"
"997","Macaranga barteri"
"998","Macaranga barteri"
"999","Psychotria mahonii"
"1000","Albizia gummifera"
