"","binomial"
"722","Amanoa sppSL1"
"723","Amanoa strobilacea"
"724","Amara sppNadugani1"
"725","Amaroria soulameoides"
"726","Ambavia capuronii"
"727","Ambavia gerrardii"
"728","Ambelania acida"
"729","Ambelania duckei"
"730","Ambelania occidentalis"
"731","Ambelania sppGF1"
"732","Ambelania sppRAINFOR1"
"733","Amborella trichopoda"
"734","Amburana acreana"
"735","Amburana cearensis"
"736","Amburana sppFPnet1"
"737","Amburana sppPE1"
"738","Amburana sppRAINFOR1"
"739","Amesiodendron chinense"
"740","Amomum sppBaitete1"
"741","Amoora wallichii"
"742","Ampelocera edentula"
"743","Ampelocera glabra"
"744","Ampelocera hottlei"
"745","Ampelocera longissima"
"746","Ampelocera macphersonii"
"747","Ampelocera macrocarpa"
"748","Ampelocera ruizii"
"749","Ampelocera sppCarajas1"
"750","Ampelocera sppCarara1"
"751","Ampelocera sppChaquima1"
"752","Ampelocera sppEsmerald1"
"753","Ampelocera sppFPnet1"
"754","Ampelocera sppGentry1"
"755","Ampelocera sppRAINFOR1"
"756","Ampelocera sppTamblat21"
"757","Ampelocera sppTamboall1"
"758","Ampelocera sppTarapoto1"
"759","Ampelocera verrucosa"
"760","Ampelopsis brevipedunculata"
"761","Ampelopsis cantoniensis"
"762","Ampelopsis rubifolia"
"763","Ampelopsis sppCN1"
"764","Ampelozizyphus amazonicus"
"765","Ampelozizyphus sppAraracua1"
"766","Ampelozizyphus sppConstanc1"
"767","Amphilophium paniculatum"
"768","Amphilophium pannosum"
"769","Amphimas comosa"
"770","Amphimas ferrugineus"
"771","Amphimas pterocarpoides"
"772","Amphimas sppSL1"
"773","Amphiodon effusus"
"774","Amphirrhox longifolia"
"775","Amphirrhox sppCamorin1"
"776","Amphirrhox sppGF1"
"777","Amphirrhox sppLinhares1"
"778","Amphirrhox surinamensis"
"779","Amphitecna kennedyae"
"780","Amyrea sppPerinet1"
"781","Amyrea sppPerinet2"
"782","Amyris balsamifera"
"783","Amyris elemifera"
"784","Amyris ignea"
"785","Amyris macrocarpa"
"786","Amyris pinnata"
"787","Amyris sppAntado1"
"788","Anacardiaceae sppGF1"
"789","Anacardiaceae sppPacific1"
"790","Anacardium excelsum"
"791","Anacardium giganteum"
"792","Anacardium microcarpum"
"793","Anacardium occidentalis"
"794","Anacardium parvifolium"
"795","Anacardium sppAlterdoc1"
"796","Anacardium sppFPnet1"
"797","Anacardium sppPacific1"
"798","Anacardium sppRAINFOR1"
"799","Anacardium sppUS1"
"800","Anacardium spruceanum"
"801","Anacardium tenuifolium"
"802","Anacolosa frutescens"
"803","Anacolosa glochidiiformis"
"804","Anacolosa heptandra"
"805","Anacolosa lutea"
"806","Anacolosa papuana"
"807","Anacolosa uncifera"
"808","Anadenanthera colubrina"
"809","Anadenanthera macrocarpa"
"810","Anadenanthera peregrina"
"811","Anartia olivacea"
"812","Anaueria brasiliensis"
"813","Anaueria sppSucusari1"
"814","Anaxagoraea sppBerbicer1"
"815","Anaxagorea acuminata"
"816","Anaxagorea brachycarpa"
"817","Anaxagorea brevipes"
"818","Anaxagorea crassipetala"
"819","Anaxagorea dolichocarpa"
"820","Anaxagorea floribunda"
"821","Anaxagorea javanica"
"822","Anaxagorea phaeocarpa"
"823","Anaxagorea sppAllpahua1"
"824","Anaxagorea sppCalima1"
"825","Anaxagorea sppCeroneb11"
"826","Anaxagorea sppCeroneb21"
"827","Anaxagorea sppMagsasay1"
"828","Anaxagorea sppMishws1"
"829","Anaxagorea sppRAINFOR1"
"830","Anaxagorea sppRionegro1"
"831","Anaxagorea sppTutunend1"
"832","Anchieta sppCarlosbo1"
"833","Ancistrocarpus sppNdakani1"
"834","Ancistrocladus barteri"
"835","Ancistrocladus ealaensis"
"836","Ancistrophyllum sppNdakani1"
"837","Ancouratea sppTambo1"
"838","Ancylobothrys gabonensis"
"839","Ancylobothrys scandens"
"840","Ancylobothrys sppPugu1"
"841","Andira coriacea"
"842","Andira fraxinifolia"
"843","Andira inermis"
"844","Andira legalis"
"845","Andira lewisii"
"846","Andira macrothyrsa"
"847","Andira micrantha"
"848","Andira multistipula"
"849","Andira ormosioides"
"850","Andira parviflora"
"851","Andira retusa"
"852","Andira sppAlterdoc1"
"853","Andira sppBOi1"
"854","Andira sppCamorin1"
"855","Andira sppCarlosbo1"
"856","Andira sppFPnet1"
"857","Andira sppRAINFOR1"
"858","Andira sppSR1"
"859","Andira sppTEAM1"
"860","Andira sppTEAM2"
"861","Andira sppTEAM3"
"862","Andira sppTEAM4"
"863","Andira surinamensis"
"864","Andira unifoliolata"
"865","Androsiphonia adenostegia"
"866","Anemopaegma chamberlaynii"
"867","Anemopaegma chrysanthum"
"868","Anemopaegma chrysoleucum"
"869","Anemopaegma insculptum"
"870","Anemopaegma orbiculatum"
"871","Anemopaegma parkeri"
"872","Anemopaegma prostratum"
"873","Anemopaegma puberulum"
"874","Anemopaegma robustum"
"875","Anemopaegma sppCuangos1"
"876","Anemopaegma sppJenarohe1"
"877","Anemopaegma sppRiomanso1"
"878","Aneulophus africanus"
"879","Angophora leiocarpa"
"880","Angostura sppMishnfl1"
"881","Angostura toxicaria"
"882","Angostura ucayalina"
"883","Angylocalyx braunii"
"884","Angylocalyx oligophyllus"
"885","Angylocalyx pynaertii"
"886","Angylocalyx sppGA1"
"887","Angylocalyx sppGAB1"
"888","Angylocalyx sppNdakani1"
"889","Angylocalyx talbotii"
"890","Aniba bracteata"
"891","Aniba canelilla"
"892","Aniba cicatricosa"
"893","Aniba citrifolia"
"894","Aniba coto"
"895","Aniba cylindriflora"
"896","Aniba duckei"
"897","Aniba excelsa"
"898","Aniba ferrea"
"899","Aniba firmula"
"900","Aniba guianensis"
"901","Aniba hostmanniana"
"902","Aniba hypoglauca"
