Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,user_id
Acacia omalophylla,Acacia omalophylla,,1,Synonym,Racosperma omalophyllum,(A. Cunn. ex Benth.) Pedley,Fabaceae,tropicos, ,,171
Acacia omalophylla,Acacia omalophylla,,1,Synonym,Racosperma omalophyllum,(A. Cunn. ex Benth.) Pedley,Fabaceae,tropicos, ,,172
Acacia oraria,Acacia oraria,,1,Accepted,Acacia oraria,F.Muell.,Fabaceae,ildis, ,,173
Acacia oshanesii,Acacia oshanesii,,1,Accepted,Acacia oshanesii,F.Muell & Maiden,Fabaceae,ildis, ,,174
Acacia oshanesii,Acacia oshanesii,,1,Accepted,Acacia oshanesii,F.Muell & Maiden,Fabaceae,ildis, ,,175
Acacia oswaldii,Acacia oswaldii,,1,Accepted,Acacia oswaldii,F.Muell.,Fabaceae,ildis, ,,176
Acacia pachycarpa,Acacia pachycarpa,,1,Accepted,Acacia pachycarpa,F.Muell. ex Benth.,Fabaceae,ildis, ,,177
Acacia pallidifolia,Acacia pallidifolia,,1,Synonym,Vachellia pallidifolia,(Tindale) Kodela,Fabaceae,ildis, ,,178
Acacia papyrocarpa,Acacia papyrocarpa,,1,Accepted,Acacia papyrocarpa,Benth.,Fabaceae,ildis;usda, ,,179
Acacia papyrocarpa,Acacia papyrocarpa,,1,Accepted,Acacia papyrocarpa,Benth.,Fabaceae,ildis;usda, ,,180
Acacia papyrocarpa,Acacia papyrocarpa,,1,Accepted,Acacia papyrocarpa,Benth.,Fabaceae,ildis;usda, ,,181
Acacia pellita,Acacia pellita,,1,Accepted,Acacia pellita,O.Schwarz,Fabaceae,ildis, ,,182
Acacia pendula,Acacia pendula,,1,Accepted,Acacia pendula,Cunn. ex Don,Fabaceae,ildis, ,,183
Acacia penninervis,Acacia penninervis,,1,Accepted,Acacia penninervis,Sieber ex DC.,Fabaceae,ildis;tropicos;usda, ,,184
Acacia penninervis,Acacia penninervis,,1,Accepted,Acacia penninervis,Sieber ex DC.,Fabaceae,ildis;tropicos;usda, ,,185
Acacia peuce,Acacia peuce,,1,Accepted,Acacia peuce,F.Muell.,Fabaceae,ildis, ,,186
Acacia podalyriifolia,Acacia podalyriifolia,,1,Accepted,Acacia podalyriifolia,Cunn. ex Don,Fabaceae,ildis, ,,187
Acacia polyacantha,Acacia polyacantha,,1,Synonym,Senegalia polyacantha,(Willd) Seigler & Ebinger,Fabaceae,ildis, ,,188
Acacia polyacantha,Acacia polyacantha,,1,Synonym,Senegalia polyacantha,(Willd) Seigler & Ebinger,Fabaceae,ildis, ,,189
Acacia polyphylla,Acacia polyphylla,,1,Synonym,Senegalia polyphylla,(DC.) Britton & Rose,Fabaceae,ildis, ,,190
Acacia polyphylla,Acacia polyphylla,,1,Synonym,Senegalia polyphylla,(DC.) Britton & Rose,Fabaceae,ildis, ,,191
Acacia polyphylla,Acacia polyphylla,,1,Synonym,Senegalia polyphylla,(DC.) Britton & Rose,Fabaceae,ildis, ,,192
Acacia polyphylla,Acacia polyphylla,,1,Synonym,Senegalia polyphylla,(DC.) Britton & Rose,Fabaceae,ildis, ,,193
Acacia praecox,Acacia praecox,,1,No opinion,,,,tpl, ,,194
Acacia pruinocarpa,Acacia pruinocarpa,,1,Accepted,Acacia pruinocarpa,Tind.,Fabaceae,ildis, ,,195
Acacia pruinocarpa,Acacia pruinocarpa,,1,Accepted,Acacia pruinocarpa,Tind.,Fabaceae,ildis, ,,196
Acacia pubescens,Acacia pubescens,,1,Accepted,Acacia pubescens,(Vent.) R.Br. in W.T.Aiton,Fabaceae,ildis, ,,197
Acacia pubescens,Acacia pubescens,,1,Accepted,Acacia pubescens,(Vent.) R.Br. in W.T.Aiton,Fabaceae,ildis, ,,198
Acacia pubescens,Acacia pubescens,,1,Accepted,Acacia pubescens,(Vent.) R.Br. in W.T.Aiton,Fabaceae,ildis, ,,199
Acacia quadrimarginea,Acacia quadrimarginea,,1,Accepted,Acacia quadrimarginea,F.Muell.,Fabaceae,ildis, ,,200
Acacia ramulosa,Acacia ramulosa,,1,Accepted,Acacia ramulosa,W.Fitzg.,Fabaceae,ildis, ,,201
Acacia resinimarginea,Acacia resinimarginea,,1,Accepted,Acacia resinimarginea,W.Fitzg.,Fabaceae,ildis, ,,202
Acacia rhodoxylon,Acacia rhodoxylon,,1,Accepted,Acacia rhodoxylon,Maiden,Fabaceae,ildis, ,,203
Acacia richii,Acacia richii,,1,Accepted,Acacia richii,A. Gray,Fabaceae,ildis;tropicos, ,,204
Acacia robusta,Acacia robusta,,1,No opinion,,,,ildis, ,,205
Acacia salicina,Acacia salicina,,1,Accepted,Acacia salicina,Lindley in T.Mitch.,Fabaceae,ildis, ,,206
Acacia sclerosperma,Acacia sclerosperma,,1,Accepted,Acacia sclerosperma,F.Muell.,Fabaceae,ildis, ,,207
Acacia shirleyi,Acacia shirleyi,,1,Accepted,Acacia shirleyi,Maiden,Fabaceae,ildis, ,,208
Acacia shirleyi,Acacia shirleyi,,1,Accepted,Acacia shirleyi,Maiden,Fabaceae,ildis, ,,209
Acacia shirleyi,Acacia shirleyi,,1,Accepted,Acacia shirleyi,Maiden,Fabaceae,ildis, ,,210
Acacia shirleyi,Acacia shirleyi,,1,Accepted,Acacia shirleyi,Maiden,Fabaceae,ildis, ,,211
Acacia sibilans,Acacia sibilans,,1,Accepted,Acacia sibilans,Maslin,Fabaceae,ildis, ,,212
Acacia spectabilis,Acacia spectabilis,,1,Accepted,Acacia spectabilis,Cunn. ex Benth.,Fabaceae,ildis, ,,213
Acacia stenophylla,Acacia stenophylla,,1,Accepted,Acacia stenophylla,Cunn. ex Benth.,Fabaceae,ildis, ,,214
Acacia stenophylla,Acacia stenophylla,,1,Accepted,Acacia stenophylla,Cunn. ex Benth.,Fabaceae,ildis, ,,215
Acacia stenophylla,Acacia stenophylla,,1,Accepted,Acacia stenophylla,Cunn. ex Benth.,Fabaceae,ildis, ,,216
Acacia stipuligera,Acacia stipuligera,,1,No opinion,,,,tpl, ,,217
Acacia subtessarogona,Acacia subtessarogona,,1,Accepted,Acacia subtessarogona,Tind. & Maslin,Fabaceae,ildis, ,,218
