,ID_AE,Latitude,Longitude,Family,Genus,Species,Substitute_equation,Unit_X,Min_X,Max_X,Output_TR,Unit_Y,Ecoregion_WWF,Veg_Component
2508,44260,34.8324,-77.345,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate coniferous forests,Whole tree (above stump)
2509,44260,35.2406,-77.1309,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate coniferous forests,Whole tree (above stump)
2510,44260,36.1506,-76.9703,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate coniferous forests,Whole tree (above stump)
2511,44260,30.684,-88.7733,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate coniferous forests,Whole tree (above stump)
2512,44260,32.3166,-88.0774,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2513,44260,31.8884,-87.3012,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2514,44260,31.7278,-88.0774,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
2515,44260,30.684,-86.2574,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate coniferous forests,Whole tree (above stump)
2516,44260,35.6956,-76.5957,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate coniferous forests,Whole tree (above stump)
2517,44260,33.8957,-79.0847,Fagaceae,Quercus,laurifolia,Biomass=0+0*(DBH^2)+9.68515*((DBH^2)^(0.96554)),in2,125,299,NA,lb,Temperate coniferous forests,Whole tree (above stump)
