Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,user_id
Ocotea sppLinhares1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14517
Ocotea sppLinhares2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14518
Ocotea sppMadidi1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14519
Ocotea sppMadidiri1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14520
Ocotea sppMaquipuc1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14521
Ocotea sppMiazi1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14522
Ocotea sppMishnfl1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14523
Ocotea sppMurri1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14524
Ocotea sppMurri2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14525
Ocotea sppNeusa1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14526
Ocotea sppNeusa2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14527
Ocotea sppNosymang1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14528
Ocotea sppNosymang2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14529
Ocotea sppNosymang3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14530
Ocotea sppNuevomun1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14531
Ocotea sppNuevomun2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14532
Ocotea sppNuevomun3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14533
Ocotea sppPE1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14534
Ocotea sppPerinet1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14535
Ocotea sppPersever1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14536
Ocotea sppPersever2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14537
Ocotea sppRAINFOR1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14538
Ocotea sppRiopal21,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14539
Ocotea sppRiotavar1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14540
Ocotea sppSCA1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14541
Ocotea sppSCA2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14542
Ocotea sppSCA3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14543
Ocotea sppSCA4,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14544
Ocotea sppSCA5,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14545
Ocotea sppSR1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14546
Ocotea sppSacram1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14547
Ocotea sppSacram2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14548
Ocotea sppSaul1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14549
Ocotea sppSaul2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14550
Ocotea sppSaul3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14551
Ocotea sppSaul4,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14552
Ocotea sppSaul5,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14553
Ocotea sppShiringa1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14554
Ocotea sppShiringa2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14555
Ocotea sppTEAM1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14556
Ocotea sppTEAM10,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14557
Ocotea sppTEAM11,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14558
Ocotea sppTEAM12,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14559
Ocotea sppTEAM13,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14560
Ocotea sppTEAM14,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14561
Ocotea sppTEAM15,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14562
Ocotea sppTEAM16,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14563
Ocotea sppTEAM17,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14564
Ocotea sppTEAM2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14565
Ocotea sppTEAM3,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14566
Ocotea sppTEAM4,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14567
Ocotea sppTEAM6,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14568
Ocotea sppTEAM7,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14569
Ocotea sppTEAM9,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14570
Ocotea sppTahuampa1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14571
Ocotea sppTambupl1,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14572
Ocotea sppTambupl2,Ocotea,,0.9,Accepted,Ocotea,,Lauraceae,tpl;usda, ,,14573
