"","x"
"945","Myrciaria cauliflora"
"946","Myrciaria cauliflora"
"947","Myrciaria cauliflora"
"948","Myrciaria cauliflora"
"949","Myrciaria cauliflora"
"950","Myrciaria cauliflora"
"951","Aspidosperma tomentosum"
"952","Aspidosperma tomentosum"
"953","Aspidosperma tomentosum"
"954","Aspidosperma tomentosum"
"955","Aspidosperma tomentosum"
"956","Aspidosperma tomentosum"
"957","Aspidosperma tomentosum"
"958","Aspidosperma tomentosum"
"959","Aspidosperma tomentosum"
"960","Aspidosperma tomentosum"
"961","Aspidosperma cylindrocarpon"
"962","Aspidosperma cylindrocarpon"
"963","Aspidosperma cylindrocarpon"
"964","Aspidosperma cylindrocarpon"
"965","Aspidosperma cylindrocarpon"
"966","Aspidosperma cylindrocarpon"
"967","Aspidosperma cylindrocarpon"
"968","Aspidosperma cylindrocarpon"
"969","Aspidosperma cylindrocarpon"
"970","Aspidosperma cylindrocarpon"
"971","Sweetia fruticosa"
"972","Sweetia fruticosa"
"973","Sweetia fruticosa"
"974","Sweetia fruticosa"
"975","Sweetia fruticosa"
"976","Sweetia fruticosa"
"977","Sweetia fruticosa"
"978","Sweetia fruticosa"
"979","Sweetia fruticosa"
"980","Sweetia fruticosa"
"981","Neea cf. steinbachii"
"982","Neea cf. steinbachii"
"983","Neea cf. steinbachii"
"984","Neea cf. steinbachii"
"985","Neea cf. steinbachii"
"986","Neea cf. steinbachii"
"987","Neea cf. steinbachii"
"988","Neea cf. steinbachii"
"989","Neea cf. steinbachii"
