Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
"620"",""Millettia dura",Millettia dura,,0.9,Accepted,Millettia dura,Dunn,Fabaceae,ildis;tropicos, ,
"621"",""Psychotria mahonii",Psychotria mahonii,,0.9,Accepted,Psychotria mahonii,C.H.Wright,Rubiaceae,tpl, ,
"622"",""Macaranga kilimandscharica",Macaranga kilimandscharica,,0.9,Accepted,Macaranga kilimandscharica,Pax,Euphorbiaceae,tpl, ,
"623"",""Podocarpus milanjianus",Podocarpus milanjianus,,0.9,Accepted,Podocarpus milanjianus,Rendle,Podocarpaceae,tpl, ,
"624"",""Allophylus abyssinicus",Allophylus abyssinicus,,0.9,Accepted,Allophylus abyssinicus,(Hochst.) Radlk.,Sapindaceae,tpl;tropicos, ,
"625"",""Albizia sppTEAM1",Albizia,,0.9,Accepted,Albizia,,Asteraceae,tpl;gcc;usda, ,
"626"",""Macaranga barteri",Macaranga barteri,,0.9,Accepted,Macaranga barteri,M¨¹ll.Arg.,Euphorbiaceae,tpl, ,
"627"",""Millettia dura",Millettia dura,,0.9,Accepted,Millettia dura,Dunn,Fabaceae,ildis;tropicos, ,
"628"",""Sapium ellipticum",Sapium ellipticum,,0.9,Synonym,Shirakiopsis elliptica,(Hochst.) Esser,Euphorbiaceae,tpl, ,
"629"",""Carapa grandiflora",Carapa grandiflora,,0.9,Accepted,Carapa grandiflora,Sprague,Meliaceae,tpl, ,
"630"",""Prunus africana",Prunus africana,,0.9,Accepted,Prunus africana,(Hook.f.) Kalkman,Rosaceae,tpl, ,
"631"",""Sapium ellipticum",Sapium ellipticum,,0.9,Synonym,Shirakiopsis elliptica,(Hochst.) Esser,Euphorbiaceae,tpl, ,
"632"",""Prunus africana",Prunus africana,,0.9,Accepted,Prunus africana,(Hook.f.) Kalkman,Rosaceae,tpl, ,
"633"",""Margaritaria discoidea",Margaritaria discoidea,,0.9,Accepted,Margaritaria discoidea,(Baill.) G.L.Webster,Phyllanthaceae,tpl, ,
"634"",""Sapium ellipticum",Sapium ellipticum,,0.9,Synonym,Shirakiopsis elliptica,(Hochst.) Esser,Euphorbiaceae,tpl, ,
"635"",""Allophylus abyssinicus",Allophylus abyssinicus,,0.9,Accepted,Allophylus abyssinicus,(Hochst.) Radlk.,Sapindaceae,tpl;tropicos, ,
"636"",""Xymalos monospora",Xymalos monospora,,0.9,Accepted,Xymalos monospora,(Harv.) Baill.,Monimiaceae,tpl, ,
"637"",""Macaranga barteri",Macaranga barteri,,0.9,Accepted,Macaranga barteri,M¨¹ll.Arg.,Euphorbiaceae,tpl, ,
"638"",""Leptonychia mildbraedii",Leptonychia mildbraedii,,0.9,Accepted,Leptonychia mildbraedii,Engl.,Malvaceae,tpl;tropicos, ,
"639"",""Sapium ellipticum",Sapium ellipticum,,0.9,Synonym,Shirakiopsis elliptica,(Hochst.) Esser,Euphorbiaceae,tpl, ,
"640"",""Millettia dura",Millettia dura,,0.9,Accepted,Millettia dura,Dunn,Fabaceae,ildis;tropicos, ,
"641"",""Albizia gummifera",Albizia gummifera,,0.9,No opinion,,,,tpl, ,
"642"",""Trichoscypha submontana",Trichoscypha submontana,,0.9,Synonym,Trichoscypha lucens,Oliv.,Anacardiaceae,tpl, ,
"643"",""Macaranga kilimandscharica",Macaranga kilimandscharica,,0.9,Accepted,Macaranga kilimandscharica,Pax,Euphorbiaceae,tpl, ,
"644"",""Leptonychia mildbraedii",Leptonychia mildbraedii,,0.9,Accepted,Leptonychia mildbraedii,Engl.,Malvaceae,tpl;tropicos, ,
"645"",""Alangium chinense",Alangium chinense,,0.9,Accepted,Alangium chinense,(Lour.) Harms,Cornaceae,tpl;tropicos, ,
