"","family","genus","species","meanWD","sdWD","levelWD","nInd"
"24046","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24004","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24060","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24037","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24039","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24040","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24038","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24045","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24044","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23984","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24075","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24065","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24026","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24055","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24041","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24002","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23993","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24007","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23980","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24066","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24053","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24008","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23986","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24082","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24078","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24083","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24033","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24079","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24080","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24013","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24003","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24061","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23991","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24010","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24052","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23982","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24029","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24024","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24023","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24018","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24011","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24069","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24051","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24036","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24014","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24042","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24043","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24030","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24035","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24081","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24017","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23996","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23994","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23997","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24009","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23987","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24000","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24085","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24028","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24086","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24015","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24059","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24050","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24016","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24070","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23992","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24058","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23988","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24022","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"23989","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24021","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24048","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
"24071","Elaeocarpaceae","Sloanea",NA,0.609456770833333,0.0941339098036177,"genus",32
