"","LAT","LON","binomial","levelWD","biomass","DBH","quantity","biomass_portion","DBH_portion","abundacne_frequency"
"66",-0.875030976841072,28.3763082592924,"Trichoscypha submontana","genus",1.76431565460843,85.4104942670968,3,0.00803970970626181,0.00780158217288677,0.00815217391304348
"67",-0.875030976841072,28.3763082592924,"Trilepisium madagascariensis","genus",0.689550723024943,32.6782075602128,1,0.00314217448923213,0.00298489926479517,0.00271739130434783
"71",-0.875030976841072,28.3763082592924,"Alangium chinense","species",7.61343912728868,499.893499579771,17,0.0346932479399675,0.0456613703986716,0.046195652173913
"75",-0.875030976841072,28.3763082592924,"Albizia gummifera","species",5.87703463870642,297.179846313255,10,0.0267807250394383,0.027145059995653,0.0271739130434783
"77",-0.875030976841072,28.3763082592924,"Allophylus abyssinicus","species",4.66253875059865,230.164631753457,8,0.0212464577702392,0.0210237430812827,0.0217391304347826
"80",-0.875030976841072,28.3763082592924,"Bridelia micrantha","species",4.50539421676773,219.282978164982,7,0.0205303747775919,0.0200297889381082,0.0190217391304348
"82",-0.875030976841072,28.3763082592924,"Carapa grandiflora","species",6.96420345765776,315.499674436011,10,0.0317347828256614,0.0288184333406882,0.0271739130434783
"88",-0.875030976841072,28.3763082592924,"Croton macrostachyus","species",0.797332064182766,35.1799703977062,1,0.00363331715545349,0.00321341577814941,0.00271739130434783
"89",-0.875030976841072,28.3763082592924,"Ehretia cymosa","species",0.63504654400928,32.4318766722582,1,0.00289380749440358,0.00296239886035906,0.00271739130434783
"91",-0.875030976841072,28.3763082592924,"Entandrophragma excelsum","species",0.367987092017693,25.5526825468905,1,0.00167685945978319,0.00233403815699557,0.00271739130434783
"93",-0.875030976841072,28.3763082592924,"Erythrina abyssinica","species",0.913632623900862,58.4832221801324,2,0.00416328056441999,0.00534198598765475,0.00543478260869565
"96",-0.875030976841072,28.3763082592924,"Funtumia africana","species",0.3726844626097,27.0913928867896,1,0.00169826464079137,0.0024745873396224,0.00271739130434783
"98",-0.875030976841072,28.3763082592924,"Harungana madagascariensis","species",0.365990140373647,25.9530488955942,1,0.00166775966436187,0.00237060849879576,0.00271739130434783
"100",-0.875030976841072,28.3763082592924,"Ilex mitis","species",10.2769437737953,511.626760855253,17,0.0468304208450876,0.0467331122587568,0.046195652173913
"103",-0.875030976841072,28.3763082592924,"Macaranga kilimandscharica","species",3.67214902846169,220.152003858227,7,0.0167334071484593,0.0201091676539718,0.0190217391304348
"105",-0.875030976841072,28.3763082592924,"Maesa lanceolata","species",7.94305354037331,305.738117234337,10,0.036195249120583,0.0279267912620691,0.0271739130434783
"108",-0.875030976841072,28.3763082592924,"Maesopsis eminii","species",0.816948832446025,57.589522096837,2,0.00372270769155153,0.00526035345880014,0.00543478260869565
"110",-0.875030976841072,28.3763082592924,"Margaritaria discoidea","species",1.07399505359604,34.1147660575648,1,0.00489402700379577,0.00311611767372046,0.00271739130434783
