"","V1","PLT","TPH","FID","LAT","LON","SPCD","DBH","Year","WWF_Biome"
"177",33272,"GAB-RLE20",1,139354,-1.3987,13.73054,"Mammea africana",17.10000038,2006,7
"178",33273,"GAB-RLE20",1,139352,-1.3987,13.73054,"Mammea africana",17.20000076,2006,7
"179",33274,"GAB-RLE20",1,139351,-1.3987,13.73054,"Mammea africana",17.60000038,2004,7
"180",33275,"GAB-RLE20",1,139356,-1.3987,13.73054,"Mammea africana",17,2006,7
"181",33276,"GAB-RLE20",1,139348,-1.3987,13.73054,"Mammea africana",18.01000023,2004,7
"182",33277,"GAB-RLE20",1,139347,-1.3987,13.73054,"Mammea africana",18.11000061,2004,7
"183",33278,"GAB-RLE20",1,139346,-1.3987,13.73054,"Mammea africana",18.20000076,2006,7
"184",33279,"GAB-RLE20",1,139345,-1.3987,13.73054,"Mammea africana",18.29999924,2006,7
"185",33280,"GAB-RLE20",1,139344,-1.3987,13.73054,"Mammea africana",18.70000076,2006,7
"186",33281,"GAB-RLE20",1,139349,-1.3987,13.73054,"Mammea africana",18,2006,7
"187",33282,"GAB-RLE20",1,139350,-1.3987,13.73054,"Mammea africana",18,2006,7
"188",33283,"GAB-RLE20",1,139340,-1.3987,13.73054,"Mammea africana",20.10000038,2006,7
"189",33284,"GAB-RLE20",1,139337,-1.3987,13.73054,"Mammea africana",22.5,2004,7
"190",33285,"GAB-RLE20",1,139336,-1.3987,13.73054,"Mammea africana",22.70000076,2004,7
"191",33286,"GAB-RLE20",1,139334,-1.3987,13.73054,"Mammea africana",22.79999924,2004,7
"192",33287,"GAB-RLE20",1,139335,-1.3987,13.73054,"Mammea africana",22.79999924,2006,7
"193",33288,"GAB-RLE20",1,139330,-1.3987,13.73054,"Mammea africana",23.05999947,2004,7
"194",33289,"GAB-RLE20",1,139329,-1.3987,13.73054,"Mammea africana",23.20000076,2006,7
"195",33290,"GAB-RLE20",1,139328,-1.3987,13.73054,"Mammea africana",23.29999924,2003,7
"196",33291,"GAB-RLE20",1,139326,-1.3987,13.73054,"Mammea africana",23.5,2004,7
"197",33292,"GAB-RLE20",1,139327,-1.3987,13.73054,"Mammea africana",23.5,2006,7
"198",33293,"GAB-RLE20",1,139325,-1.3987,13.73054,"Mammea africana",23.60000038,2004,7
"199",33294,"GAB-RLE20",1,139324,-1.3987,13.73054,"Mammea africana",23.70000076,2006,7
"200",33295,"GAB-RLE20",1,139331,-1.3987,13.73054,"Mammea africana",23,2006,7
"201",33296,"GAB-RLE20",1,139332,-1.3987,13.73054,"Mammea africana",23,2006,7
"202",33297,"GAB-RLE20",1,139323,-1.3987,13.73054,"Mammea africana",24.04000092,2004,7
